Nº	Nombre	Total	Pormil
1	MARIA CARMEN	28317	48.57
2	MARIA	20034	34.37
3	CARMEN	13612	23.35
4	MARIA DOLORES	9214	15.81
5	MARIA PILAR	8272	14.19
6	JOSEFA	82	14.07
7	MARIA JOSE	8194	14.06
8	ANA MARIA	7458	12.79
9	MARIA TERESA	7429	12.74
10	MANUELA	7111	12.20
11	MARIA ISABEL	6754	11.59
12	LUCIA	6556	11.25
13	DOLORES	6143	10.54
14	LAURA	605	10.38
15	MARIA JESUS	5595	9.60
16	MARIA LUISA	559	9.59
17	SARA	5345	9.17
18	CRISTINA	5061	8.68
19	MARIA ANGELES	4973	8.53
20	MERCEDES	4884	8.38
21	PAULA	4814	8.26
22	ANA	4648	7.97
23	MARTA	4576	7.85
24	ISABEL	4366	7.49
25	MARIA JOSEFA	4331	7.43
26	ROSA MARIA	3934	6.75
27	BEATRIZ	3759	6.45
28	PATRICIA	3704	6.35
29	RAQUEL	3552	6.09
30	ALBA	3514	6.03
31	PILAR	3467	5.95
32	MONICA	3413	5.85
33	MARIA MERCEDES	3293	5.65
34	JOSEFINA	3192	5.48
35	ANDREA	306	5.25
36	ELENA	3011	5.17
37	CONCEPCION	2932	5.03
38	SILVIA	2807	4.82
39	MARIA ELENA	2679	4.60
40	MARIA LUZ	2616	4.49
41	SUSANA	2573	4.41
42	MARIA MAR	252	4.32
43	NATALIA	2405	4.13
44	SONIA	2388	4.10
45	JULIA	2369	4.06
46	IRIA	2362	4.05
47	NOELIA	236	4.05
48	SANDRA	2354	4.04
49	ALICIA	2315	3.97
50	MARIA ESTHER	221	3.79
51	MARINA	22	3.77
52	ROSA	2196	3.77
53	IRENE	2194	3.76
54	SOFIA	217	3.72
55	TERESA	2149	3.69
56	CONSUELO	2114	3.63
57	EVA MARIA	2102	3.61
58	EVA	2041	3.50
59	INES	2041	3.50
60	MARIA BELEN	2022	3.47
61	MARGARITA	1982	3.40
62	MARIA CONCEPCION	1954	3.35
63	CARLA	1952	3.35
64	LORENA	1949	3.34
65	ROCIO	1945	3.34
66	ANA ISABEL	1896	3.25
67	NEREA	1857	3.19
68	ANGELA	1853	3.18
69	VERONICA	1851	3.18
70	MARIA VICTORIA	1848	3.17
71	MARIA CRISTINA	1814	3.11
72	CELIA	1797	3.08
73	ANA BELEN	1792	3.07
74	PURIFICACION	1789	3.07
75	ANTIA	1772	3.04
76	ANTONIA	1761	3.02
77	YOLANDA	174	2.99
78	NURIA	1722	2.95
79	NOA	1703	2.92
80	MARIA BEGOÑA	1627	2.79
81	MARIA SOLEDAD	1615	2.77
82	MARIA ROSARIO	1566	2.69
83	FRANCISCA	1554	2.67
84	ELVIRA	1466	2.52
85	VANESA	144	2.47
86	TANIA	1418	2.43
87	UXIA	1415	2.43
88	CAROLINA	1396	2.40
89	CLAUDIA	1384	2.37
90	MARIA MANUELA	135	2.32
91	DANIELA	1331	2.28
92	MARIA NIEVES	1321	2.27
93	LARA	1296	2.22
94	BEGOÑA	1294	2.22
95	ADRIANA	1262	2.17
96	ELISA	1262	2.17
97	ENCARNACION	1246	2.14
98	MARIA ROSA	1246	2.14
99	AURORA	1245	2.14
100	ALEJANDRA	1244	2.13
101	JESUSA	1236	2.12
102	EMILIA	1231	2.11
103	REBECA	1225	2.10
104	MONTSERRAT	1203	2.06
105	LOURDES	119	2.04
106	CLARA	1182	2.03
107	ESTHER	1181	2.03
108	RAMONA	1181	2.03
109	MARTINA	1178	2.02
110	SABELA	1173	2.01
111	TAMARA	1167	2.00
112	VANESSA	1128	1.94
113	ESTRELLA	1118	1.92
114	LIDIA	1118	1.92
115	FATIMA	1113	1.91
116	JUANA	1097	1.88
117	NIEVES	1092	1.87
118	MARIA LOURDES	1085	1.86
119	MARIA CONSUELO	1057	1.81
120	ESTEFANIA	1032	1.77
121	ESPERANZA	1027	1.76
122	AMELIA	1024	1.76
123	OLGA	1023	1.76
124	CARLOTA	1001	1.72
125	AMPARO	991	1.70
126	VICTORIA	976	1.67
127	AMALIA	947	1.62
128	BELEN	939	1.61
129	ROSARIO	894	1.53
130	CANDELA	893	1.53
131	MATILDE	892	1.53
132	GLORIA	852	1.46
133	MILAGROS	852	1.46
134	MARIA EUGENIA	837	1.44
135	MARIA MONTSERRAT	826	1.42
136	LETICIA	810	1.39
137	NOEMI	808	1.39
138	LUISA	805	1.38
139	MIRIAM	805	1.38
140	EMMA	799	1.37
141	ROSALIA	782	1.34
142	DIANA	780	1.34
143	MARIA ASUNCION	772	1.32
144	CARMEN MARIA	759	1.30
145	MARIA CRUZ	756	1.30
146	MARIA ANTONIA	753	1.29
147	AINHOA	751	1.29
148	DORINDA	749	1.29
149	HERMINIA	718	1.23
150	ANGELES	713	1.22
151	ASUNCION	700	1.20
152	MARTA MARIA	694	1.19
153	MARIA BEATRIZ	691	1.19
154	JESSICA	676	1.16
155	MARIA PAZ	676	1.16
156	MARIA SOL	670	1.15
157	AROA	641	1.10
158	MARIA ENCARNACION	629	1.08
159	MARIA YOLANDA	629	1.08
160	MARIA ROCIO	607	1.04
161	SONIA MARIA	603	1.03
162	BLANCA	594	1.02
163	VALERIA	594	1.02
164	MARIA MAGDALENA	585	1.00
165	FLORA	578	0.99
166	JUANA MARIA	569	0.98
167	SANDRA MARIA	555	0.95
168	REMEDIOS	548	0.94
169	OBDULIA	520	0.89
170	CELSA	518	0.89
171	AUREA	516	0.89
172	JENNIFER	516	0.89
173	MARIA MILAGROS	513	0.88
174	OLALLA	508	0.87
175	ALMUDENA	499	0.86
176	BERTA	499	0.86
177	GUADALUPE	499	0.86
178	ISOLINA	495	0.85
179	MARIA GLORIA	487	0.84
180	LEONOR	484	0.83
181	PALOMA	484	0.83
182	MARIA PURIFICACION	482	0.83
183	VIRGINIA	481	0.83
184	MARIA INES	475	0.82
185	MARIA ESTRELLA	472	0.81
186	DELFINA	468	0.80
187	MARIA AMPARO	466	0.80
188	MARIA FERNANDA	462	0.79
189	SHEILA	461	0.79
190	VALENTINA	460	0.79
191	LOLA	458	0.79
192	MARIA CELIA	453	0.78
193	AINARA	450	0.77
194	FELISA	450	0.77
195	XIANA	449	0.77
196	CECILIA	447	0.77
197	SILVIA MARIA	445	0.76
198	MARIA OLGA	441	0.76
199	ADELA	439	0.75
200	MARIA ESPERANZA	432	0.74
201	LIA	431	0.74
202	HELENA	426	0.73
203	ARACELI	425	0.73
204	ERMITAS	420	0.72
205	MARIA ELISA	420	0.72
206	SOLEDAD	420	0.72
207	AIDA	414	0.71
208	OTILIA	414	0.71
209	DOSINDA	413	0.71
210	AITANA	411	0.71
211	PAULA MARIA	411	0.71
212	RITA	410	0.70
213	MARIA INMACULADA	406	0.70
214	MARIA REMEDIOS	406	0.70
215	BALBINA	405	0.70
216	GABRIELA	404	0.69
217	MARIA AURORA	400	0.69
218	MARISOL	399	0.68
219	FLORINDA	389	0.67
220	MAGDALENA	389	0.67
221	AVELINA	385	0.66
222	ALBA MARIA	384	0.66
223	BARBARA	370	0.64
224	VERA	362	0.62
225	GEMA	357	0.61
226	DIGNA	355	0.61
227	ESTELA	353	0.61
228	YAIZA	353	0.61
229	OLIVA	350	0.60
230	ALEXANDRA	349	0.60
231	ALDARA	348	0.60
232	TATIANA	348	0.60
233	MARIA LUCIA	347	0.60
234	ANGELA MARIA	344	0.59
235	CATALINA	343	0.59
236	ARIADNA	338	0.58
237	HORTENSIA	338	0.58
238	DIVINA	334	0.57
239	MARIA ELVIRA	334	0.57
240	MARIA SONIA	332	0.57
241	ADELINA	330	0.57
242	EVANGELINA	325	0.56
243	NATIVIDAD	323	0.55
244	MARIA JULIA	318	0.55
245	SOCORRO	318	0.55
246	ZAIRA	316	0.54
247	MARIA SOCORRO	310	0.53
248	MARIA SUSANA	310	0.53
249	ISAURA	307	0.53
250	RUTH	307	0.53
251	INMACULADA	306	0.53
252	MIRIAN	306	0.53
253	ERUNDINA	304	0.52
254	MARIA FRANCISCA	304	0.52
255	MARIA MARGARITA	300	0.52
256	ELSA	296	0.51
257	JIMENA	296	0.51
258	MARIA ALICIA	294	0.50
259	MONSERRAT	294	0.50
260	NAIARA	294	0.50
261	ERIKA	292	0.50
262	MARIA RAQUEL	291	0.50
263	EUGENIA	290	0.50
264	SORAYA	289	0.50
265	BENEDICTA	288	0.49
266	VIRTUDES	287	0.49
267	ICIA	286	0.49
268	LAURA MARIA	285	0.49
269	MARIÑA	282	0.48
270	OLIVIA	277	0.48
271	CLARISA	276	0.47
272	FILOMENA	274	0.47
273	MARA	273	0.47
274	VISITACION	273	0.47
275	SUSANA MARIA	272	0.47
276	CANDIDA	271	0.47
277	HERMOSINDA	269	0.46
278	SARAY	269	0.46
279	AURELIA	266	0.46
280	LUZ DIVINA	263	0.45
281	MONICA MARIA	262	0.45
282	MARIA VANESA	257	0.44
283	LUZ MARIA	250	0.43
284	IRIS	246	0.42
285	CLAUDINA	242	0.42
286	DELIA	241	0.41
287	MARIA EMILIA	241	0.41
288	MARIA OLIVA	240	0.41
289	MARIA EVA	238	0.41
290	MARIA ALEJANDRA	235	0.40
291	GENOVEVA	234	0.40
292	MARIA FATIMA	233	0.40
293	ELENA MARIA	232	0.40
294	TRINIDAD	231	0.40
295	LUCINDA	230	0.40
296	MARIA LORENA	230	0.40
297	MARIA GUADALUPE	229	0.39
298	MARIA SAGRARIO	228	0.39
299	ELIDA	225	0.39
300	GENEROSA	223	0.38
301	MARIANA	223	0.38
302	ZOE	222	0.38
303	MARIA SANDRA	221	0.38
304	BENIGNA	220	0.38
305	MARIA BLANCA	216	0.37
306	OFELIA	215	0.37
307	EDELMIRA	213	0.37
308	GEMMA	213	0.37
309	MARIA AMELIA	211	0.36
310	MARIA DIVINA	211	0.36
311	MARIA FLORA	211	0.36
312	OLGA MARIA	209	0.36
313	MARIA FE	208	0.36
314	ISABEL MARIA	207	0.36
315	LEIRE	207	0.36
316	LUZ	206	0.35
317	MARIA VANESSA	206	0.35
318	REGINA	205	0.35
319	ROSA ANA	205	0.35
320	ALEXIA	204	0.35
321	GRACIELA	201	0.35
322	MARIA LAURA	201	0.35
323	MARIA AZUCENA	200	0.34
324	AMANDA	197	0.34
325	LYDIA	195	0.33
326	MARIA CONSOLACION	195	0.33
327	ANABEL	193	0.33
328	MENCIA	192	0.33
329	ALMA	191	0.33
330	MARIA JESUSA	191	0.33
331	PATRICIA MARIA	191	0.33
332	MARIA DIGNA	190	0.33
333	DOMINGA	186	0.32
334	AMERICA	185	0.32
335	CRISTINA MARIA	185	0.32
336	LUA	184	0.32
337	MARIA JOSEFINA	184	0.32
338	ROSANA	184	0.32
339	AINOA	183	0.31
340	MARIA TRINIDAD	182	0.31
341	MARIA IRENE	181	0.31
342	BIBIANA	180	0.31
343	TANIA MARIA	180	0.31
344	DULCE MARIA	179	0.31
345	MARIA JUANA	179	0.31
346	NADIA	179	0.31
347	HERMINDA	178	0.31
348	PURA	178	0.31
349	JUDITH	176	0.30
350	JULIA MARIA	176	0.30
351	NELIDA	176	0.30
352	GUMERSINDA	175	0.30
353	MARIA REYES	174	0.30
354	MARIA SARA	174	0.30
355	MARIA SALOME	173	0.30
356	PALMIRA	173	0.30
357	JOSEFA MARIA	172	0.30
358	PEREGRINA	172	0.30
359	SALOME	172	0.30
360	FLORENTINA	171	0.29
361	BLANDINA	170	0.29
362	AZUCENA	168	0.29
363	CAMILA	168	0.29
364	YANIRA	165	0.28
365	ADELAIDA	164	0.28
366	MAR	164	0.28
367	MARIA ANGELA	164	0.28
368	MARIA ISOLINA	164	0.28
369	VEGA	163	0.28
370	FELICITAS	162	0.28
371	GLORIA MARIA	161	0.28
372	MARIA HORTENSIA	161	0.28
373	MARIA MONSERRAT	160	0.27
374	PAOLA	160	0.27
375	PRECIOSA	158	0.27
376	SERAFINA	157	0.27
377	ANGELICA	156	0.27
378	JOAQUINA	156	0.27
379	MARIA VIRTUDES	155	0.27
380	VICENTA	155	0.27
381	ROMINA	154	0.26
382	SARA MARIA	153	0.26
383	MARIA ANA	152	0.26
384	OLAYA	152	0.26
385	ZELTIA	151	0.26
386	NURIA MARIA	150	0.26
387	PASTORA	149	0.26
388	NOELA	148	0.25
389	FELICIDAD	147	0.25
390	HERMITAS	146	0.25
391	SABINA	146	0.25
392	DIANA MARIA	145	0.25
393	LORETO	145	0.25
394	VICTORINA	144	0.25
395	ELIA	142	0.24
396	ENMA	141	0.24
397	DESIREE	140	0.24
398	MARIA RAMONA	139	0.24
399	YESICA	139	0.24
400	ADOLFINA	138	0.24
401	ANA ROSA	138	0.24
402	CARMELA	138	0.24
403	LUISA MARIA	138	0.24
404	MARIA HERMINIA	138	0.24
405	RITA MARIA	138	0.24
406	MARIA MATILDE	137	0.24
407	SARAI	137	0.24
408	DORA	136	0.23
409	JUDIT	136	0.23
410	AFRICA	135	0.23
411	ELIZABETH	135	0.23
412	MARIA FLOR	135	0.23
413	VIOLETA	134	0.23
414	ANA CRISTINA	133	0.23
415	AGUEDA	132	0.23
416	ELBA	132	0.23
417	MARIA OTILIA	132	0.23
418	GUILLERMINA	131	0.23
419	MARIA AMERICA	131	0.23
420	YESSICA	131	0.23
421	MARIA RITA	130	0.22
422	NORA	129	0.22
423	VICTORIA EUGENIA	129	0.22
424	MARIA ANGELICA	126	0.22
425	LILIANA	125	0.21
426	MARIA OFELIA	125	0.21
427	MARIA MONICA	124	0.21
428	ARIANA	123	0.21
429	BASILISA	123	0.21
430	MARIA AMALIA	123	0.21
431	MARIA CELSA	123	0.21
432	MAITE	122	0.21
433	MARCELINA	122	0.21
434	MARIA CLARA	122	0.21
435	SAGRARIO	122	0.21
436	EULALIA	121	0.21
437	MARIA ALMUDENA	121	0.21
438	MARIBEL	120	0.21
439	ARANZAZU	119	0.20
440	MARIA NATIVIDAD	119	0.20
441	CLEMENTINA	118	0.20
442	MARIA DELFINA	118	0.20
443	MARIA VERONICA	118	0.20
444	ESMERALDA	117	0.20
445	MARIA ARANZAZU	117	0.20
446	MARIA NOELIA	117	0.20
447	MINIA	117	0.20
448	AGUSTINA	116	0.20
449	KATIA	116	0.20
450	MARIA ERMITAS	116	0.20
451	ENRIQUETA	115	0.20
452	ERICA	115	0.20
453	FATIMA MARIA	115	0.20
454	MODESTA	114	0.20
455	ADORACION	113	0.19
456	BERTA MARIA	113	0.19
457	CAYETANA	113	0.19
458	EMERITA	113	0.19
459	LORENA MARIA	113	0.19
460	MARIA PATRICIA	113	0.19
461	CLOTILDE	112	0.19
462	YOLANDA MARIA	112	0.19
463	FABIOLA	111	0.19
464	PAZ	111	0.19
465	IRIA MARIA	110	0.19
466	LUCIA MARIA	110	0.19
467	MARIA LEONOR	110	0.19
468	JESICA	109	0.19
469	MARIA ADELA	109	0.19
470	MARIA BERTA	108	0.19
471	ALBINA	107	0.18
472	CASILDA	107	0.18
473	CINTIA	107	0.18
474	MACARENA	107	0.18
475	PAMELA	107	0.18
476	ALEJANDRA MARIA	106	0.18
477	ANXELA	106	0.18
478	CATUXA	106	0.18
479	CIPRIANA	106	0.18
480	DEBORA	106	0.18
481	KARINA	106	0.18
482	MARIA VISITACION	106	0.18
483	CARME	105	0.18
484	ANUNCIA	104	0.18
485	MARIA PALOMA	104	0.18
486	NICOLE	104	0.18
487	ASCENSION	103	0.18
488	JULIANA	103	0.18
489	MARIA DORINDA	103	0.18
490	IRMA	102	0.18
491	MARIA ANDREA	102	0.18
492	CLARA MARIA	101	0.17
493	JENIFER	101	0.17
494	NARCISA	101	0.17
495	MARIA LORETO	100	0.17
496	OLIMPIA	100	0.17
497	XULIA	100	0.17
498	BLANCA MARIA	99	0.17
499	MARIA ARGENTINA	98	0.17
500	SIRA	98	0.17
501	FERNANDA	97	0.17
502	LIDIA MARIA	97	0.17
503	MELISA	97	0.17
504	DOLORES MARIA	96	0.17
505	MARIA ELIDA	96	0.17
506	MARIA EMMA	96	0.17
507	ELISABET	95	0.16
508	NOELIA MARIA	95	0.16
509	ZAIDA	95	0.16
510	GISELA	94	0.16
511	MARIA FELISA	94	0.16
512	MELANIA	94	0.16
513	MARIA ADELINA	93	0.16
514	CARIDAD	92	0.16
515	COVADONGA	92	0.16
516	MARIA AUREA	92	0.16
517	MARIA SILVIA	92	0.16
518	THAIS	92	0.16
519	VANESSA MARIA	91	0.16
520	XOANA	90	0.15
521	ARGENTINA	89	0.15
522	BENITA	89	0.15
523	URSULA	89	0.15
524	ALICIA MARIA	88	0.15
525	NAZARET	88	0.15
526	SEGUNDA	88	0.15
527	CELIA MARIA	87	0.15
528	JULIETA	87	0.15
529	MARIA ARACELI	87	0.15
530	PAULINA	87	0.15
531	ELISABETH	86	0.15
532	ADA	85	0.15
533	MARIA DELIA	85	0.15
534	MARIA ELSA	85	0.15
535	MARIA NATALIA	85	0.15
536	MARIA SOFIA	85	0.15
537	ALMA MARIA	84	0.14
538	ANA BEATRIZ	84	0.14
539	CHLOE	84	0.14
540	EREA	84	0.14
541	MARIA ASCENSION	84	0.14
542	MARIA OBDULIA	84	0.14
543	NATALIA MARIA	84	0.14
544	RUT	84	0.14
545	SILVANA	84	0.14
546	YASMINA	84	0.14
547	AMAYA	83	0.14
548	ANTONIA MARIA	83	0.14
549	ARANTXA	83	0.14
550	CLOE	83	0.14
551	MARIA BARCA	83	0.14
552	EMMA MARIA	82	0.14
553	MARIA CAROLINA	82	0.14
554	TERESA MARIA	82	0.14
555	ANGELINA	81	0.14
556	CARINA	81	0.14
557	CELTIA	81	0.14
558	DANIELLA	81	0.14
559	HILDA	81	0.14
560	LARA MARIA	81	0.14
561	MARIA DOSINDA	81	0.14
562	MARIA NELIDA	81	0.14
563	MARIA VICENTA	81	0.14
564	VANESA MARIA	81	0.14
565	MARIA EVANGELINA	80	0.14
566	MARIA GEMA	80	0.14
567	ANUNCIACION	79	0.14
568	LUISA FERNANDA	79	0.14
569	MARISA	79	0.14
570	TERESA JESUS	79	0.14
571	ELISA MARIA	78	0.13
572	MARIA CELESTE	78	0.13
573	MARIA FILOMENA	77	0.13
574	MARIA JUNQUERA	77	0.13
575	MARIA NURIA	77	0.13
576	AMADORA	76	0.13
577	GALA	75	0.13
578	MARIA ERUNDINA	75	0.13
579	MIA	75	0.13
580	CARLA MARIA	74	0.13
581	ENGRACIA	74	0.13
582	LEYRE	74	0.13
583	MARIA CECILIA	74	0.13
584	MARIA GABRIELA	74	0.13
585	CATARINA	73	0.13
586	JESSICA MARIA	73	0.13
587	MARIA VIRGINIA	73	0.13
588	AMABLE	72	0.12
589	DOLORES CARMEN	72	0.12
590	JACQUELINE	72	0.12
591	MARIA AGUSTINA	72	0.12
592	ARANCHA	71	0.12
593	CARMEN DOLORES	71	0.12
594	GEMMA MARIA	71	0.12
595	LINA	71	0.12
596	MARIA FLORINDA	71	0.12
597	MICAELA	71	0.12
598	MIREIA	71	0.12
599	SALADINA	71	0.12
600	ANA VANESA	70	0.12
601	JOSEFA CARMEN	70	0.12
602	MARIA AMABLE	70	0.12
603	MARIA GORETTI	70	0.12
604	LUNA	69	0.12
605	LUZ MARINA	69	0.12
606	MARIA AVELINA	69	0.12
607	MYRIAM	69	0.12
608	RAQUEL MARIA	69	0.12
609	ANNA	68	0.12
610	CELINA	68	0.12
611	ESTER	68	0.12
612	MARGARITA MARIA	67	0.12
613	NAIRA	67	0.12
614	NANCY	67	0.12
615	OLAIA	67	0.12
616	PIEDAD	67	0.12
617	SABRINA	67	0.12
618	ANDREA MARIA	66	0.11
619	CELESTINA	66	0.11
620	CORAL	66	0.11
621	ANGELITA	65	0.11
622	MARIA GRACIELA	65	0.11
623	MARIA MARTA	65	0.11
624	MARIA PAULA	65	0.11
625	MELISSA	65	0.11
626	ROSA ISABEL	65	0.11
627	ANA VANESSA	64	0.11
628	FLAVIA	64	0.11
629	GEMA MARIA	64	0.11
630	MICHELLE	64	0.11
631	REBECA MARIA	64	0.11
632	BRENDA	63	0.11
633	FE	63	0.11
634	MARIA HERMITAS	63	0.11
635	MARIA MILAGRO	63	0.11
636	MARIA PIEDAD	63	0.11
637	MARUXA	63	0.11
638	NAIA	63	0.11
639	VENTURA	63	0.11
640	ESTIBALIZ	62	0.11
641	HERMELINDA	62	0.11
642	INES MARIA	62	0.11
643	IRINA	62	0.11
644	LUCITA	62	0.11
645	NAYARA	62	0.11
